date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma10,ta10
2018-12-03,sh.600375,3.8700000000,3.9400000000,3.8500000000,3.9000000000,3.8000000000,4416000,17206633.0000,2,0.794615,1,2.631583,0,3.891000000000016,0.9301085000000011
2018-12-04,sh.600375,3.9100000000,3.9500000000,3.8900000000,3.9400000000,3.9000000000,3663434,14343761.0000,2,0.659199,1,1.025640,0,3.893000000000016,0.894473800000001
2018-12-05,sh.600375,3.8800000000,3.9300000000,3.8600000000,3.9000000000,3.9400000000,3055069,11895063.0000,2,0.549729,1,-1.015227,0,3.8870000000000156,0.8759934000000008
2018-12-06,sh.600375,3.9000000000,3.9200000000,3.8400000000,3.8800000000,3.9000000000,2177100,8440760.0000,2,0.391748,1,-0.512820,0,3.8750000000000155,0.8526257000000008
2018-12-07,sh.600375,3.8900000000,3.9000000000,3.8200000000,3.8500000000,3.8800000000,2586800,9952843.0000,2,0.46546899999999997,1,-0.773201,0,3.8770000000000158,0.7931087000000009
2018-12-10,sh.600375,3.8100000000,3.8500000000,3.7800000000,3.8100000000,3.8500000000,2186134,8337755.0000,2,0.39337300000000003,1,-1.038960,0,3.8750000000000164,0.7826620000000009
2018-12-11,sh.600375,3.8100000000,3.8500000000,3.7900000000,3.8300000000,3.8100000000,2369114,9063255.0000,2,0.426299,1,0.524934,0,3.8600000000000163,0.6641243000000009
2018-12-12,sh.600375,3.8500000000,3.8700000000,3.8200000000,3.8500000000,3.8300000000,2058814,7921745.0000,2,0.370463,1,0.522193,0,3.8560000000000167,0.5544493000000009
2018-12-13,sh.600375,3.8500000000,3.9400000000,3.8300000000,3.9000000000,3.8500000000,3548300,13815066.0000,2,0.6384810000000001,1,1.298706,0,3.8660000000000165,0.5316431000000008
2018-12-14,sh.600375,3.9400000000,3.9500000000,3.7600000000,3.7600000000,3.9000000000,3533000,13592256.0000,2,0.635728,1,-3.589746,0,3.862000000000017,0.5325104000000008
2018-12-17,sh.600375,3.7200000000,3.8200000000,3.7200000000,3.8000000000,3.7600000000,1314110,4963260.0000,2,0.236461,1,1.063829,0,3.8520000000000167,0.47669500000000087
2018-12-18,sh.600375,3.7800000000,3.8200000000,3.7100000000,3.7600000000,3.8000000000,1954885,7355348.0000,2,0.35176199999999996,1,-1.052631,0,3.8340000000000165,0.4459513000000008
2018-12-19,sh.600375,3.7600000000,3.7800000000,3.6900000000,3.7100000000,3.7600000000,2242427,8345446.0000,2,0.40350199999999997,1,-1.329786,0,3.815000000000017,0.4313286000000008
2018-12-20,sh.600375,3.7200000000,3.7400000000,3.6800000000,3.7100000000,3.7100000000,1446442,5372845.0000,2,0.260273,1,0.000000,0,3.798000000000017,0.41818110000000075
2018-12-21,sh.600375,3.7200000000,3.7200000000,3.6300000000,3.6600000000,3.7100000000,1905601,6982049.0000,2,0.34289400000000003,1,-1.347708,0,3.779000000000017,0.40592360000000083
2018-12-24,sh.600375,3.6500000000,3.6900000000,3.6300000000,3.6700000000,3.6600000000,1133485,4161080.0000,2,0.203959,1,0.273224,0,3.765000000000017,0.38698220000000083
2018-12-25,sh.600375,3.6600000000,3.6600000000,3.5200000000,3.5900000000,3.6700000000,2634228,9427436.0000,2,0.47400299999999995,1,-2.179841,0,3.7410000000000165,0.39175260000000084
2018-12-26,sh.600375,3.6200000000,3.6200000000,3.5600000000,3.5700000000,3.5900000000,1286800,4611823.0000,2,0.23154699999999998,1,-0.557103,0,3.7130000000000165,0.37786100000000084
2018-12-27,sh.600375,3.6300000000,3.6500000000,3.5000000000,3.5000000000,3.5700000000,1789000,6426552.0000,2,0.321913,1,-1.960783,0,3.673000000000017,0.34620420000000085
2018-12-28,sh.600375,3.4900000000,3.5800000000,3.4900000000,3.5200000000,3.5000000000,1644100,5795142.0000,2,0.29583899999999996,1,0.571428,0,3.6490000000000173,0.31221530000000086
2019-01-02,sh.600375,3.5500000000,3.5500000000,3.5100000000,3.5200000000,3.5200000000,1083800,3824187.0000,2,0.195019,1,0.000000,0,3.6210000000000178,0.3080711000000009
2019-01-03,sh.600375,3.5400000000,3.6000000000,3.5200000000,3.5700000000,3.5200000000,1563031,5571501.0000,2,0.281252,1,1.420453,0,3.602000000000018,0.3010201000000009
2019-01-04,sh.600375,3.5400000000,3.7300000000,3.5100000000,3.7300000000,3.5700000000,3609041,13135931.0000,2,0.649411,1,4.481795,0,3.604000000000018,0.32561100000000087
2019-01-07,sh.600375,3.9000000000,3.9900000000,3.8500000000,3.9300000000,3.7300000000,10260692,40235187.0000,2,1.84631,1,5.361931,0,3.6260000000000177,0.48421470000000094
2019-01-08,sh.600375,3.8000000000,3.9300000000,3.8000000000,3.8600000000,3.9300000000,8299524,31865877.0000,2,1.493417,1,-1.781175,0,3.6460000000000177,0.5992670000000009
2019-01-09,sh.600375,3.9000000000,3.9900000000,3.8300000000,3.9200000000,3.8600000000,8766192,34536674.0000,2,1.577389,1,1.554409,0,3.671000000000018,0.7366100000000009
2019-01-10,sh.600375,3.9100000000,3.9300000000,3.8400000000,3.9000000000,3.9200000000,5290019,20527089.0000,2,0.951886,1,-0.510204,0,3.702000000000018,0.7843983000000009
2019-01-11,sh.600375,3.9200000000,3.9200000000,3.8500000000,3.9200000000,3.9000000000,4477600,17388358.0000,2,0.8057,1,0.512820,0,3.7370000000000183,0.8418136000000007
2019-01-14,sh.600375,3.9400000000,3.9700000000,3.8500000000,3.8800000000,3.9200000000,3834925,14986797.0000,2,0.6900569999999999,1,-1.020407,0,3.7750000000000186,0.8786280000000006
2019-01-15,sh.600375,3.9100000000,3.9400000000,3.8800000000,3.9300000000,3.8800000000,4367201,17081466.0000,2,0.785834,1,1.288659,0,3.816000000000018,0.9276275000000005
2019-01-16,sh.600375,3.9300000000,3.9600000000,3.8500000000,3.8800000000,3.9300000000,5500601,21402234.0000,2,0.9897790000000001,1,-1.272263,0,3.852000000000018,1.0071035000000006
2019-01-17,sh.600375,3.8900000000,3.8900000000,3.7800000000,3.8100000000,3.8800000000,5196601,19823982.0000,2,0.935077,1,-1.804128,0,3.876000000000018,1.0724860000000005
2019-01-18,sh.600375,3.8400000000,3.8400000000,3.7600000000,3.8300000000,3.8100000000,5507900,20970385.0000,2,0.991092,1,0.524934,0,3.8860000000000183,1.1066541000000005
2019-01-21,sh.600375,3.8300000000,3.9200000000,3.8100000000,3.8500000000,3.8300000000,4706300,18106543.0000,2,0.846852,1,0.522193,0,3.8780000000000188,1.0067083000000003
